charge,time,x,y,z,string_number,dom_number
0.5249999761581421,10251.0,500.42999267578125,-58.45000076293945,-332.1600036621094,30,50
0.625,11975.0,411.80999755859375,13.0,-179.10000610351562,39,41
0.675000011920929,10658.0,411.80999755859375,13.0,-281.2200012207031,39,47
0.824999988079071,9982.0,544.0700073242188,55.88999938964844,-246.1300048828125,40,45
1.0750000476837158,10004.0,544.0700073242188,55.88999938964844,-246.1300048828125,40,45
0.824999988079071,9954.0,544.0700073242188,55.88999938964844,-263.1499938964844,40,46
0.9750000238418579,10176.0,544.0700073242188,55.88999938964844,-263.1499938964844,40,46
0.925000011920929,9874.0,544.0700073242188,55.88999938964844,-280.1700134277344,40,47
0.574999988079071,9902.0,544.0700073242188,55.88999938964844,-280.1700134277344,40,47
1.524999976158142,10077.0,544.0700073242188,55.88999938964844,-280.1700134277344,40,47
0.9750000238418579,10057.0,544.0700073242188,55.88999938964844,-297.19000244140625,40,48
1.125,10855.0,330.0299987792969,127.19999694824219,-128.89999389648438,48,38
0.824999988079071,10906.0,330.0299987792969,127.19999694824219,-128.89999389648438,48,38
0.925000011920929,10957.0,330.0299987792969,127.19999694824219,-128.89999389648438,48,38
1.125,10862.0,330.0299987792969,127.19999694824219,-145.9199981689453,48,39
1.225000023841858,11246.0,330.0299987792969,127.19999694824219,-145.9199981689453,48,39
0.824999988079071,10865.0,330.0299987792969,127.19999694824219,-179.9600067138672,48,41
0.5249999761581421,10725.0,330.0299987792969,127.19999694824219,-196.97999572753906,48,42
0.9750000238418579,10733.0,330.0299987792969,127.19999694824219,-196.97999572753906,48,42
0.5249999761581421,10747.0,330.0299987792969,127.19999694824219,-196.97999572753906,48,42
0.675000011920929,10980.0,330.0299987792969,127.19999694824219,-196.97999572753906,48,42
0.4749999940395355,10855.0,330.0299987792969,127.19999694824219,-214.00999450683594,48,43
0.375,11049.0,330.0299987792969,127.19999694824219,-214.00999450683594,48,43
1.024999976158142,11253.0,330.0299987792969,127.19999694824219,-248.0500030517578,48,45
0.925000011920929,11102.0,472.04998779296875,127.9000015258789,-159.52999877929688,49,40
1.375,10460.0,472.04998779296875,127.9000015258789,-193.5800018310547,49,42
0.32499998807907104,10895.0,472.04998779296875,127.9000015258789,-210.60000610351562,49,43
1.475000023841858,10358.0,472.04998779296875,127.9000015258789,-244.63999938964844,49,45
0.375,10423.0,472.04998779296875,127.9000015258789,-261.6600036621094,49,46
0.824999988079071,10495.0,472.04998779296875,127.9000015258789,-329.739990234375,49,50
1.375,11552.0,257.30999755859375,211.66000366210938,-91.30000305175781,57,36
0.625,11043.0,257.30999755859375,211.66000366210938,-108.31999969482422,57,37
1.3250000476837158,14161.0,-66.69999694824219,276.9200134277344,106.3499984741211,63,24
1.9249999523162842,13214.0,-66.69999694824219,276.9200134277344,-12.800000190734863,63,31
0.675000011920929,12166.0,54.2599983215332,292.9700012207031,47.970001220703125,64,29
0.32499998807907104,12723.0,-21.969999313354492,393.239990234375,142.3800048828125,71,22
1.225000023841858,12596.0,-21.969999313354492,393.239990234375,125.36000061035156,71,23
0.625,12369.0,-21.969999313354492,393.239990234375,91.31999969482422,71,25
1.024999976158142,12377.0,-21.969999313354492,393.239990234375,91.31999969482422,71,25
1.125,12389.0,-21.969999313354492,393.239990234375,91.31999969482422,71,25
0.9750000238418579,12433.0,-21.969999313354492,393.239990234375,91.31999969482422,71,25
0.2750000059604645,12584.0,-21.969999313354492,393.239990234375,91.31999969482422,71,25
1.1749999523162842,12806.0,-21.969999313354492,393.239990234375,91.31999969482422,71,25
0.22499999403953552,12304.0,-21.969999313354492,393.239990234375,74.30000305175781,71,26
3.125,12309.0,-21.969999313354492,393.239990234375,74.30000305175781,71,26
5.175000190734863,12313.0,-21.969999313354492,393.239990234375,74.30000305175781,71,26
1.774999976158142,12322.0,-21.969999313354492,393.239990234375,74.30000305175781,71,26
1.274999976158142,12330.0,-21.969999313354492,393.239990234375,74.30000305175781,71,26
0.4749999940395355,12338.0,-21.969999313354492,393.239990234375,74.30000305175781,71,26
0.7250000238418579,12348.0,-21.969999313354492,393.239990234375,74.30000305175781,71,26
1.475000023841858,12645.0,-21.969999313354492,393.239990234375,57.279998779296875,71,27
0.675000011920929,12726.0,-21.969999313354492,393.239990234375,57.279998779296875,71,27
0.9750000238418579,14790.0,-21.969999313354492,393.239990234375,57.279998779296875,71,27
0.32499998807907104,12360.0,-21.969999313354492,393.239990234375,40.25,71,28
0.574999988079071,14232.0,-224.08999633789062,470.8599853515625,247.11000061035156,76,16
1.3250000476837158,13339.0,-224.08999633789062,470.8599853515625,213.07000732421875,76,18
1.024999976158142,13222.0,-224.08999633789062,470.8599853515625,179.02999877929688,76,20
0.875,13379.0,-224.08999633789062,470.8599853515625,162.00999450683594,76,21
1.225000023841858,13467.0,-224.08999633789062,470.8599853515625,162.00999450683594,76,21
0.2750000059604645,14114.0,-224.08999633789062,470.8599853515625,25.84000015258789,76,29
0.7250000238418579,13215.0,-101.05999755859375,490.2200012207031,195.11000061035156,77,19
0.42500001192092896,13010.0,-101.05999755859375,490.2200012207031,161.07000732421875,77,21
1.125,13051.0,-101.05999755859375,490.2200012207031,161.07000732421875,77,21
1.4249999523162842,13070.0,-101.05999755859375,490.2200012207031,161.07000732421875,77,21
0.9750000238418579,13088.0,-101.05999755859375,490.2200012207031,161.07000732421875,77,21
0.7250000238418579,13110.0,-101.05999755859375,490.2200012207031,127.02999877929688,77,23
